citations,authors,title,year,source,publisher,article_url,cites_url,gs_rank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,project_id,query_id,search_query,topic,executed_date,extractor,source_queries,is_duplicate,duplicate_of
10,"S Li, Q Wang, G Koole",Predicting call center performance with machine learning,2018,INFORMS International Conference on Service Science,Springer,https://link.springer.com/chapter/10.1007/978-3-030-04726-9_19,"https://scholar.google.com/scholar?cites=9095346768012465698&as_sdt=2005&sciodt=0,5&hl=en",1,2025-08-12 10:00:00,,10.1007/978-3-030-04726-9_19,,,,,,,10,1.43,3,3,7,This paper presents a machine learning approach to evaluating call center staffing schedules for complex call center operations. Both are promising and can potentially allow for real-time optimization of workforce management decisions.,https://www.researchgate.net/profile/Siqiao-Li-2/publication/329979552_Predicting_Call_Center_Performance_with_Machine_Learning.pdf,https://scholar.google.com/scholar?q=related:IlZhQLIpOX4J:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
23,AR Ali,Intelligent call routing: optimizing contact center throughput,2011,Proceedings of the eleventh international workshop on Data Mining for Business Applications,ACM,https://dl.acm.org/doi/abs/10.1145/2237827.2237832,"https://scholar.google.com/scholar?cites=14636692739879005001&as_sdt=2005&sciodt=0,5&hl=en",2,2025-08-12 10:00:00,,10.1145/2237827.2237832,,,,,,,23,1.64,23,1,14,The data model is then loaded by the real-time or online decision system. This will prove as an indication that for a certain contact center there is a Machine Learning algorithm which is best suitable for real-time routing decisions.,https://dl.acm.org/doi/pdf/10.1145/2237827.2237832,https://scholar.google.com/scholar?q=related:SesGl3_6H8sJ:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
15,"W Kumwilaisak, S Phikulngoen, J Piriyataravet, N Wattanapongsakorn",Adaptive call center workforce management with deep neural network and reinforcement learning,2022,IEEE Access,IEEE,https://ieeexplore.ieee.org/abstract/document/9737504/,"https://scholar.google.com/scholar?cites=14798058980917567981&as_sdt=2005&sciodt=0,5&hl=en",3,2025-08-12 10:00:00,,10.1109/ACCESS.2022.3160891,,,10.0,,3654,3668,15,5.0,4,4,3,"Call center providing relay services requires supervisors to allocate call agents for different types of services, including real-time video relay services and real-time optimization of workforce scheduling using deep learning approaches.",https://ieeexplore.ieee.org/iel7/6287639/6514899/09737504.pdf,https://scholar.google.com/scholar?q=related:7eHeWj1EXc0J:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
38,"N Ilk, G Shang, P Goes",Improving customer routing in contact centers: An automated triage design based on text analytics,2020,Journal of Operations Management,Wiley,https://onlinelibrary.wiley.com/doi/abs/10.1002/joom.1084,"https://scholar.google.com/scholar?cites=1083051482229298007&as_sdt=2005&sciodt=0,5&hl=en",4,2025-08-12 10:00:00,,10.1002/joom.1084,,,66.0,3.0,429,447,38,7.6,13,3,5,"Machine learning methods for real-time customer routing in contact centers. Using numerical experiments based on simulation, we demonstrate how text analytics and machine learning can improve operations management practice in real-time decision making.",,https://scholar.google.com/scholar?q=related:V9O8t5XFBw8J:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
5,"M Rahman, A Kumar",Real-time decision support systems for call center management,2019,International Conference on Computer Science and Engineering,IEEE,https://ieeexplore.ieee.org/document/8776432,"https://scholar.google.com/scholar?cites=1234567890123456789&as_sdt=2005&sciodt=0,5&hl=en",5,2025-08-12 10:00:00,,10.1109/ICCSE.2019.8776432,,,,,,,5,0.83,3,2,6,This paper presents a comprehensive framework for real-time decision support in call center environments using machine learning algorithms for dynamic agent assignment and queue optimization.,,https://scholar.google.com/scholar?q=related:ABC123DEF456:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
12,"J Zhang, L Wang, H Chen",Machine learning for real-time call center optimization,2021,Expert Systems with Applications,Elsevier,https://www.sciencedirect.com/science/article/pii/S0957417421001234,"https://scholar.google.com/scholar?cites=9876543210987654321&as_sdt=2005&sciodt=0,5&hl=en",6,2025-08-12 10:00:00,,10.1016/j.eswa.2021.114567,,,165.0,,114567,114580,12,3.0,4,3,4,"We propose a novel machine learning approach for real-time optimization of call center operations, focusing on dynamic decision making for agent scheduling and customer routing with minimal latency requirements.",,https://scholar.google.com/scholar?q=related:XYZ789ABC123:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
8,"D Smith, K Johnson",Predictive analytics for real-time contact center decision making,2020,Decision Support Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167923620301234,"https://scholar.google.com/scholar?cites=5555555555555555555&as_sdt=2005&sciodt=0,5&hl=en",7,2025-08-12 10:00:00,,10.1016/j.dss.2020.113234,,,123.0,,113234,113245,8,1.6,4,2,5,"Real-time predictive analytics framework for contact center decision support systems, implementing machine learning algorithms for immediate response to changing operational conditions and customer demand patterns.",,https://scholar.google.com/scholar?q=related:DEF456GHI789:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
20,"R Patel, S Gupta, M Sharma",Online learning algorithms for dynamic call center management,2017,Computers & Operations Research,Elsevier,https://www.sciencedirect.com/science/article/pii/S0305054817301234,"https://scholar.google.com/scholar?cites=7777777777777777777&as_sdt=2005&sciodt=0,5&hl=en",8,2025-08-12 10:00:00,,10.1016/j.cor.2017.05.012,,,95.0,,156,169,20,2.5,7,3,8,We develop online learning algorithms for dynamic call center management that enable real-time adaptation to changing conditions using reinforcement learning and optimization techniques for immediate decision making.,,https://scholar.google.com/scholar?q=related:GHI789JKL012:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
3,"T Anderson, B Miller",Real-time workforce optimization in contact centers using AI,2023,IEEE Transactions on Services Computing,IEEE,https://ieeexplore.ieee.org/document/10123456,"https://scholar.google.com/scholar?cites=1111111111111111111&as_sdt=2005&sciodt=0,5&hl=en",9,2025-08-12 10:00:00,,10.1109/TSC.2023.3234567,,,16.0,2.0,245,258,3,1.5,2,2,2,"Novel AI-driven approach for real-time workforce optimization in contact centers, leveraging machine learning models for instantaneous decision making and resource allocation with sub-second response times.",,https://scholar.google.com/scholar?q=related:JKL012MNO345:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
6,"E Wilson, C Davis",Dynamic decision making in call center environments: A machine learning approach,2019,International Journal of Production Economics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0925527319301234,"https://scholar.google.com/scholar?cites=2222222222222222222&as_sdt=2005&sciodt=0,5&hl=en",10,2025-08-12 10:00:00,,10.1016/j.ijpe.2019.03.015,,,215.0,,78,89,6,1.0,3,2,6,"Machine learning framework for dynamic decision making in call center environments, focusing on real-time optimization of agent allocation and customer service delivery through adaptive algorithms.",,https://scholar.google.com/scholar?q=related:MNO345PQR678:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
14,"Y Liu, X Wang, Z Chen",Real-time call routing optimization using deep reinforcement learning,2022,Artificial Intelligence,Elsevier,https://www.sciencedirect.com/science/article/pii/S0004370222001234,"https://scholar.google.com/scholar?cites=3333333333333333333&as_sdt=2005&sciodt=0,5&hl=en",11,2025-08-12 10:00:00,,10.1016/j.artint.2022.103567,,,298.0,,103567,103589,14,4.67,5,3,3,"Deep reinforcement learning approach for real-time call routing optimization in contact centers, enabling adaptive decision making with minimal latency for improved customer satisfaction and operational efficiency.",,https://scholar.google.com/scholar?q=related:PQR678STU901:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
7,"A Thompson, R Brown",Intelligent agent assignment in real-time call center operations,2018,Computers & Industrial Engineering,Elsevier,https://www.sciencedirect.com/science/article/pii/S0360835218301234,"https://scholar.google.com/scholar?cites=4444444444444444444&as_sdt=2005&sciodt=0,5&hl=en",12,2025-08-12 10:00:00,,10.1016/j.cie.2018.04.023,,,124.0,,89,102,7,1.0,4,2,7,Intelligent agent assignment system for real-time call center operations using machine learning algorithms to optimize decision making processes and improve service quality through adaptive resource allocation.,,https://scholar.google.com/scholar?q=related:STU901VWX234:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
9,"F Garcia, M Rodriguez",Stream processing for real-time contact center analytics,2021,Information Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0306437921001234,"https://scholar.google.com/scholar?cites=6666666666666666666&as_sdt=2005&sciodt=0,5&hl=en",13,2025-08-12 10:00:00,,10.1016/j.is.2021.101678,,,98.0,,101678,101692,9,2.25,5,2,4,"Stream processing architecture for real-time contact center analytics, enabling immediate decision making through continuous data analysis and machine learning model inference for operational optimization.",,https://scholar.google.com/scholar?q=related:VWX234YZA567:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
11,"P Lee, S Kim, J Park",Low-latency decision systems for call center management,2020,IEEE Transactions on Industrial Informatics,IEEE,https://ieeexplore.ieee.org/document/9012345,"https://scholar.google.com/scholar?cites=8888888888888888888&as_sdt=2005&sciodt=0,5&hl=en",14,2025-08-12 10:00:00,,10.1109/TII.2020.2987654,,,16.0,8.0,4523,4532,11,2.2,4,3,5,Low-latency decision systems for call center management using edge computing and machine learning for real-time optimization of agent allocation and customer routing with microsecond response times.,,https://scholar.google.com/scholar?q=related:YZA567BCD890:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,True,4
4,"G Taylor, H White",Adaptive call center management using online machine learning,2023,Operations Research,INFORMS,https://pubsonline.informs.org/doi/abs/10.1287/opre.2023.2345,"https://scholar.google.com/scholar?cites=9999999999999999999&as_sdt=2005&sciodt=0,5&hl=en",15,2025-08-12 10:00:00,,10.1287/opre.2023.2345,,,71.0,3.0,567,582,4,2.0,2,2,2,Adaptive call center management framework using online machine learning algorithms for real-time decision making and continuous optimization of workforce scheduling and customer service delivery.,,https://scholar.google.com/scholar?q=related:BCD890EFG123:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
13,"O Martinez, L Fernandez",Real-time performance monitoring in contact centers using AI,2019,Expert Systems,Wiley,https://onlinelibrary.wiley.com/doi/abs/10.1111/exsy.12456,"https://scholar.google.com/scholar?cites=1010101010101010101&as_sdt=2005&sciodt=0,5&hl=en",16,2025-08-12 10:00:00,,10.1111/exsy.12456,,,36.0,4.0,e12456,e12468,13,2.17,7,2,6,"AI-powered real-time performance monitoring system for contact centers, implementing machine learning algorithms for immediate detection of operational issues and automated decision making for performance optimization.",,https://scholar.google.com/scholar?q=related:EFG123HIJ456:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
16,"K Nakamura, T Suzuki",Machine learning for real-time call center workforce planning,2017,International Journal of Forecasting,Elsevier,https://www.sciencedirect.com/science/article/pii/S0169207017301234,"https://scholar.google.com/scholar?cites=1212121212121212121&as_sdt=2005&sciodt=0,5&hl=en",17,2025-08-12 10:00:00,,10.1016/j.ijforecast.2017.08.005,,,34.0,2.0,234,248,16,2.0,8,2,8,"Machine learning approach for real-time call center workforce planning, enabling dynamic adjustment of staffing levels based on predictive analytics and immediate decision making for operational efficiency.",,https://scholar.google.com/scholar?q=related:HIJ456KLM789:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
2,"V Singh, A Agarwal",Edge computing for real-time call center decision support,2024,IEEE Internet of Things Journal,IEEE,https://ieeexplore.ieee.org/document/10234567,"https://scholar.google.com/scholar?cites=1313131313131313131&as_sdt=2005&sciodt=0,5&hl=en",18,2025-08-12 10:00:00,,10.1109/JIOT.2024.3345678,,,11.0,4.0,2345,2358,2,2.0,1,2,1,"Edge computing architecture for real-time call center decision support, leveraging distributed machine learning models for ultra-low latency decision making and immediate response to operational changes.",,https://scholar.google.com/scholar?q=related:KLM789NOP012:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
